사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2024-03,1호선,0150,서울역,1447754,1393734,227062,217639
2024-03,1호선,0151,시청,664265,656796,111445,108138
2024-03,1호선,0152,종각,964737,946524,152686,142688
2024-03,1호선,0153,종로3가,499200,462956,310535,287412
2024-03,1호선,0154,종로5가,507635,495448,270416,260685
2024-03,1호선,0155,동대문,247676,248695,137903,139140
2024-03,1호선,0156,신설동,307664,296760,131660,127945
2024-03,1호선,0157,제기동,247757,240496,284893,302034
2024-03,1호선,0158,청량리(서울시립대입구),416357,402220,303404,304789
2024-03,1호선,0159,동묘앞,169654,179509,183569,185429
2024-03,2호선,0201,시청,681518,633419,62575,55461
2024-03,2호선,0202,을지로입구,1315801,1345993,106482,99349
2024-03,2호선,0203,을지로3가,653144,645352,77965,77369
2024-03,2호선,0204,을지로4가,332595,336459,78960,79048
2024-03,2호선,0205,동대문역사문화공원(DDP),400198,460765,62811,67605
2024-03,2호선,0206,신당,359941,381457,97977,99478
2024-03,2호선,0207,상왕십리,364209,354066,73316,73931
2024-03,2호선,0208,왕십리(성동구청),454000,406364,55791,50376
2024-03,2호선,0209,한양대,381269,433076,14528,15614
2024-03,2호선,0210,뚝섬,676300,702973,65666,65007
2024-03,2호선,0211,성수,1164241,1286219,107358,108948
2024-03,2호선,0212,건대입구,1093805,1139458,100400,104305
2024-03,2호선,0213,구의(광진구청),633996,613283,114192,114533
2024-03,2호선,0214,강변(동서울터미널),813446,766176,125422,120473
2024-03,2호선,0215,잠실나루,338803,327395,89270,89060
2024-03,2호선,0216,잠실(송파구청),2152461,2121097,226608,217111
2024-03,2호선,0217,잠실새내,609977,605622,119796,118967
2024-03,2호선,0218,종합운동장,313780,346715,52609,54653
2024-03,2호선,0219,삼성(무역센터),1477627,1487865,124600,115096
2024-03,2호선,0220,선릉,1326408,1166073,237724,208790
2024-03,2호선,0221,역삼,1237165,1421588,155704,158988
2024-03,2호선,0222,강남,2209300,2161564,167337,146031
2024-03,2호선,0223,교대(법원.검찰청),730058,880029,156782,187877
2024-03,2호선,0224,서초,551535,525825,98742,98015
2024-03,2호선,0225,방배,446139,459101,83022,81368
2024-03,2호선,0226,사당,1014412,1132650,234421,222176
2024-03,2호선,0227,낙성대(강감찬),737640,711357,117491,119562
2024-03,2호선,0228,서울대입구(관악구청),1239329,1203221,191529,180600
2024-03,2호선,0229,봉천,565176,519636,158149,157628
2024-03,2호선,0230,신림,1448423,1387206,212808,209406
2024-03,2호선,0231,신대방,633708,607566,137951,138662
2024-03,2호선,0232,구로디지털단지,1454758,1435094,202747,202101
2024-03,2호선,0233,대림(구로구청),602507,615597,140076,145956
2024-03,2호선,0234,신도림,1301680,1293109,243609,229937
2024-03,2호선,0235,문래,565204,587420,93125,92976
2024-03,2호선,0236,영등포구청,546340,566889,107189,105954
2024-03,2호선,0237,당산,470633,545981,63883,69125
2024-03,2호선,0238,합정,943223,1024575,74724,75584
2024-03,2호선,0239,홍대입구,2185511,2360413,102715,99837
2024-03,2호선,0240,신촌,1104164,1124573,127375,125091
2024-03,2호선,0241,이대,498824,546403,52509,55884
2024-03,2호선,0242,아현,268331,247985,67465,66178
2024-03,2호선,0243,충정로(경기대입구),246491,263500,48810,49786
2024-03,2호선,0244,용답,77648,79605,20333,20658
2024-03,2호선,0245,신답,39848,43489,10593,11014
2024-03,2호선,0246,신설동,88689,84852,37721,39929
2024-03,2호선,0247,도림천,30156,31555,8813,9765
2024-03,2호선,0248,양천구청,152345,160348,55190,55792
2024-03,2호선,0249,신정네거리,233087,239380,79384,80729
2024-03,2호선,0250,용두(동대문구청),52193,51162,25244,25890
2024-03,3호선,0309,지축,173864,174585,37760,37066
2024-03,3호선,0310,구파발,522776,509071,136400,131496
2024-03,3호선,0311,연신내,783596,741745,270486,260362
2024-03,3호선,0312,불광,358914,381835,151206,166757
2024-03,3호선,0313,녹번,381435,339465,84178,82903
2024-03,3호선,0314,홍제,413862,385239,154114,152128
2024-03,3호선,0315,무악재,98611,95824,34912,36896
