사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2024-03,1호선,0150,서울역,686,25,"8,354","8,884","13,709","59,387","43,653","115,326","72,903","238,393","69,830","161,833","68,795","91,155","83,865","81,706","94,365","88,972","93,899","88,296","78,565","82,288","113,373","86,086","123,522","90,484","185,280","101,964","228,062","97,494","126,128","71,462","89,851","50,808","90,852","45,787","59,033","31,527","27,169","15,365","2,922","3,882",0,249,0,0,0,0
2024-03,1호선,0151,시청,90,2,"2,209","5,148","4,267","26,852","8,516","71,999","12,210","194,812","15,411","91,814","17,745","48,252","23,267","46,793","24,628","43,140","32,523","42,457","42,529","33,888","54,825","30,331","66,494","27,634","97,336","28,587","160,312","26,166","65,313","13,916","56,921","10,505","49,842","9,299","30,569","7,361","10,115","4,609",588,"1,325",0,44,0,0,0,0
2024-03,1호선,0152,종각,166,8,"3,937","5,736","4,593","30,251","6,932","110,276","11,660","265,184","14,215","148,928","19,882","64,798","28,828","62,550","34,619","56,496","44,934","54,221","56,227","45,718","68,384","39,974","83,222","42,263","153,022","47,827","219,293","51,618","99,833","25,915","86,465","13,392","88,535","10,309","63,326","7,564","27,626","4,695","1,724","1,489",0,0,0,0,0,0
2024-03,1호선,0153,종로3가,181,14,"4,155","2,562","3,762","12,688","6,021","26,436","10,148","67,106","15,160","66,502","22,152","58,754","32,991","70,821","42,507","73,846","51,385","66,456","61,695","58,454","71,047","48,864","77,347","46,933","88,282","45,179","97,794","44,344","61,918","22,457","51,467","12,714","53,439","10,241","39,711","8,129","17,041","5,336","1,532","2,489",0,43,0,0,0,0
2024-03,1호선,0154,종로5가,58,1,"2,084","3,639","3,293","16,308","6,024","41,406","10,870","95,776","15,633","67,944","26,038","63,208","39,395","67,687","49,374","67,490","58,751","58,127","67,341","55,937","71,046","46,934","74,213","44,506","92,141","38,352","101,103","34,894","55,914","20,769","40,689","12,441","36,167","8,740","20,962","6,396","6,554","4,121",401,"1,456",0,1,0,0,0,0
2024-03,1호선,0155,동대문,752,11,"11,312","2,172","9,472","7,060","16,027","11,982","21,051","20,818","20,787","24,205","17,918","27,031","19,841","31,297","24,733","31,039","28,081","28,255","29,880","27,711","31,585","24,769","30,846","24,434","28,765","23,949","26,205","24,124","19,032","22,535","16,732","15,998","14,861","14,204","11,516","12,986","5,412","9,867",770,"3,104",1,284,0,0,0,0
2024-03,1호선,0156,신설동,354,41,"8,771","2,125","9,802","8,884","22,365","25,682","32,886","56,164","22,622","34,163","20,212","23,430","22,124","20,688","23,991","21,390","26,404","22,120","25,727","20,953","27,355","22,199","32,074","23,561","44,345","25,425","53,917","33,131","22,378","24,588","15,696","16,876","13,856","16,369","9,731","14,132","4,287","9,845",427,"2,938",0,1,0,0,0,0
2024-03,1호선,0157,제기동,454,20,"5,248","2,311","9,123","9,142","21,627","20,574","33,436","38,629","23,726","32,922","25,975","38,938","33,474","47,127","40,208","49,439","44,610","51,870","49,087","49,405","51,973","41,822","49,754","37,055","46,026","30,607","40,905","28,910","22,802","19,926","15,247","12,939","10,010","12,159","6,109","10,296","2,658","6,775",197,"1,662",1,1,0,1,0,0
2024-03,1호선,0158,청량리(서울시립대입구),"1,099",38,"11,050","2,532","18,248","10,453","48,605","18,593","59,026","39,334","38,315","39,556","34,168","41,658","40,463","50,186","47,151","54,708","50,178","57,712","53,221","56,185","59,783","52,268","63,858","49,975","58,808","50,048","50,385","59,427","28,647","39,455","22,281","24,829","17,667","23,718","11,690","19,773","4,778","12,794",339,"3,766",1,1,0,0,0,0
2024-03,1호선,0159,동묘앞,203,3,"2,895",955,"4,036","5,164","8,464","9,867","13,685","23,427","12,289","18,410","13,795","25,884","18,265","35,227","26,194","39,702","36,141","44,501","40,882","37,781","41,834","31,734","41,655","23,207","38,198","16,795","25,401","13,343","11,530","9,756","6,678","7,133","5,608","7,181","4,012","7,022","1,323","4,923",135,"2,645",0,278,0,0,0,0
2024-03,2호선,0201,시청,75,0,914,"2,145","2,433","20,665","5,363","74,181","9,867","223,113","14,004","90,296","20,093","31,490","25,505","27,925","24,585","27,727","30,093","29,972","36,308","25,501","44,913","23,227","56,082","21,043","106,430","23,777","170,760","23,202","64,856","13,179","49,519","8,913","43,260","8,706","27,109","7,302","10,651","4,918","1,273","1,538",0,60,0,0,0,0
2024-03,2호선,0202,을지로입구,54,2,"2,474","2,892","4,598","28,359","11,379","130,190","20,156","336,538","30,184","165,551","36,547","90,551","44,777","75,152","48,982","66,650","60,596","69,690","68,845","61,721","84,034","61,047","99,817","64,102","173,616","73,006","280,389","73,380","135,707","47,576","130,672","32,322","86,660","26,935","69,552","21,746","29,953","12,385","3,286","4,674",5,873,0,0,0,0
2024-03,2호선,0203,을지로3가,25,0,"1,309","2,153","2,807","20,052","7,161","73,080","14,344","173,369","19,048","73,391","23,127","35,277","25,568","30,469","26,078","28,753","30,188","31,380","34,222","28,977","38,805","28,427","47,884","32,536","95,071","38,410","138,423","43,636","62,067","28,144","46,850","17,161","50,519","14,787","41,605","12,773","22,449","7,940","3,558","1,923",1,83,0,0,0,0
2024-03,2호선,0204,을지로4가,24,1,989,"1,068","2,162","13,629","6,102","35,251","11,920","77,702","14,137","39,707","17,249","26,074","19,376","25,224","20,029","23,843","22,078","23,231","24,553","21,819","28,430","20,059","34,442","18,928","61,602","18,928","67,070","19,529","30,416","13,599","18,658","10,142","15,443","9,478","10,790","9,184","5,185","6,393",900,"1,704",0,14,0,0,0,0
2024-03,2호선,0205,동대문역사문화공원(DDP),213,7,"5,622","1,315","4,291","8,951","8,030","23,355","14,003","47,036","16,172","32,574","17,993","32,967","20,940","32,052","23,518","32,826","25,227","33,191","29,309","34,214","36,995","32,482","42,747","30,911","47,498","33,052","49,157","37,260","33,950","35,067","26,292","25,860","25,682","21,630","21,709","18,490","11,313","11,576","2,343","3,405",5,149,0,0,0,0
2024-03,2호선,0206,신당,28,4,"6,546","1,231","11,511","8,979","29,811","16,746","50,547","31,569","30,259","22,128","21,114","19,919","20,535","22,487","23,695","23,400","24,364","24,434","24,418","24,938","26,508","27,833","29,223","33,401","32,766","42,539","34,964","57,541","25,788","39,012","20,743","25,343","18,890","22,748","16,626","20,331","8,254","12,488","1,327","3,814",1,50,0,0,0,0
2024-03,2호선,0207,상왕십리,37,1,"6,029",768,"14,079","5,864","43,563","12,751","67,453","31,578","38,669","19,003","25,569","14,532","22,001","13,581","24,415","16,159","21,922","17,276","20,338","19,282","21,523","23,202","22,360","27,736","26,699","38,559","27,490","56,708","20,028","39,310","12,867","25,970","11,212","24,160","7,724","23,052","3,091","14,313",455,"4,165",1,26,0,1,0,0
2024-03,2호선,0208,왕십리(성동구청),716,0,"6,523",942,"9,444","9,137","25,886","14,250","44,964","29,299","28,819","20,288","20,439","17,723","20,442","18,862","24,048","20,887","24,701","22,437","25,239","22,301","28,737","24,900","34,599","29,938","37,567","40,656","39,030","61,091","27,652","38,144","26,659","24,452","30,921","21,707","31,191","20,761","18,756","13,996","3,457","4,886",1,83,0,0,0,0
2024-03,2호선,0209,한양대,3,0,"1,034",570,"2,618","6,470","5,451","12,000","9,034","81,932","6,724","64,301","8,750","62,757","14,431","20,147","18,782","44,329","21,693","27,043","29,424","23,226","39,118","15,482","49,085","13,786","59,460","17,799","46,146","22,955","23,033","10,160","19,694","7,030","21,099","6,686","12,504","6,242","6,368","4,411","1,344","1,350",2,14,0,0,0,0
2024-03,2호선,0210,뚝섬,21,0,"3,223","2,760","8,208","17,653","18,984","40,226","26,534","140,546","18,143","95,052","15,942","46,206","18,940","40,224","24,266","40,519","28,850","43,340","33,906","40,456","44,289","40,869","57,206","40,728","86,952","44,412","139,629","52,184","75,437","29,448","52,224","16,410","46,725","13,609","29,954","12,533","11,109","8,196","1,424","2,568",0,41,0,0,0,0
2024-03,2호선,0211,성수,64,5,"5,471","3,900","9,542","33,276","23,844","72,446","31,280","252,546","25,657","155,750","24,126","88,956","28,258","78,617","37,731","81,355","48,201","87,808","59,632","86,402","73,513","83,719","94,424","80,118","150,583","80,954","254,219","81,780","135,176","48,273","100,252","24,394","85,547","18,605","58,477","16,100","22,362","13,016","3,239","6,187",1,960,0,0,0,0
2024-03,2호선,0212,건대입구,348,6,"15,687","1,834","22,675","16,111","55,834","24,628","95,200","65,300","66,668","55,012","43,189","50,235","42,513","53,091","50,061","58,451","54,292","64,114","56,640","64,448","61,835","71,187","71,172","85,945","83,135","117,241","94,357","163,297","74,088","114,707","75,763","70,599","83,544","64,679","86,139","57,015","53,023","33,784","8,030","11,199",11,880,1,0,0,0
2024-03,2호선,0213,구의(광진구청),65,5,"13,553","1,468","27,223","28,820","71,351","17,024","118,578","39,347","75,743","23,392","41,850","21,807","34,915","21,920","36,703","24,640","35,210","28,653","32,608","30,176","34,355","39,012","43,763","45,702","45,217","62,671","44,994","98,005","25,852","73,262","20,596","49,745","18,600","47,080","16,648","42,464","8,989","24,964","1,372","7,542",3,117,0,0,0,0
2024-03,2호선,0214,강변(동서울터미널),30,0,"9,611","1,957","27,577","19,013","78,725","22,925","114,915","39,946","86,743","33,711","66,177","35,426","59,286","35,150","54,489","39,704","51,866","44,707","46,205","48,858","49,031","59,449","52,951","66,297","56,669","81,861","59,119","108,669","40,758","78,444","32,245","55,535","27,425","45,694","17,237","41,303","6,937","22,207",871,"5,739",1,54,0,0,0,0
2024-03,2호선,0215,잠실나루,8,0,"3,251","2,989","12,877","15,963","39,423","23,521","48,719","37,495","33,475","23,444","26,517","18,579","25,185","16,805","23,591","20,142","22,015","21,217","23,175","20,198","25,662","21,632","34,390","23,442","36,304","29,903","30,123","40,932","14,955","30,475","10,844","20,058","8,490","18,551","5,995","17,891","2,710","10,142",364,"3,021",0,55,0,0,0,0
2024-03,2호선,0216,잠실(송파구청),129,10,"13,225","4,976","51,862","35,519","122,573","81,038","174,225","173,663","131,787","160,019","92,278","125,959","91,150","129,622","100,842","122,994","109,912","129,208","118,933","129,319","136,672","140,821","164,437","158,415","200,442","193,429","239,772","242,671","173,493","161,297","169,384","106,478","151,093","96,782","99,659","88,562","32,757","48,019","4,434","9,145",9,260,1,2,0,0
