========== 2024 ÇÑ±¹ ÇÁ·Î¾ß±¸ ¼ºÀûÇ¥ ==========
¼øÀ§	ÆÀ	½Â	ÆÐ	¹«	½Â·ü
1	<td>ÇÑÈ­</td>	<td>52</td>	<td>33</td>	<td>2</td>	<td>0.612</td>
2	<td>LG</td>	<td>48</td>	<td>38</td>	<td>2</td>	<td>0.558</td>
3	<td>·Ôµ¥</td>	<td>47</td>	<td>39</td>	<td>3</td>	<td>0.547</td>
4	<td>KIA</td>	<td>45</td>	<td>40</td>	<td>3</td>	<td>0.529</td>
5	<td>KT</td>	<td>45</td>	<td>41</td>	<td>3</td>	<td>0.523</td>
6	<td>SSG</td>	<td>43</td>	<td>41</td>	<td>3</td>	<td>0.512</td>
7	<td>NC</td>	<td>40</td>	<td>40</td>	<td>5</td>	<td>0.500</td>
8	<td>»ï¼º</td>	<td>43</td>	<td>44</td>	<td>1</td>	<td>0.494</td>
9	<td>µÎ»ê</td>	<td>36</td>	<td>49</td>	<td>3</td>	<td>0.424</td>
10	<td>Å°¿ò</td>	<td>27</td>	<td>61</td>	<td>3</td>	<td>0.307</td>
